AccountId,AccountName,AccountType,AccountTier,Industry,AnnualRevenue,EmployeeCount,City,StateProvince,Country,SalesTerritoryId,CustomerSinceDate,StrategicAccountFlag,PrimaryPowertrainFocus,AccountStatus
001000000000001AAA,Northstar Automotive Group,OEM,Platinum,Automotive Manufacturing,29527245032,45427,Grand Rapids,Michigan,USA,TerritoryGL,2012-10-01,true,Both,Active
001000000000002AAA,MetroVale Motors,OEM,Gold,Automotive Manufacturing,16282372790,25050,Nashville,Tennessee,USA,TerritorySE,2022-09-06,true,ICE,Active
001000000000003AAA,Summit Motorworks,OEM,Platinum,Automotive Manufacturing,37191573537,57218,Milwaukee,Wisconsin,USA,TerritoryGL,2013-10-10,true,Both,Active
001000000000004AAA,Continental Mobility Systems,OEM,Platinum,Automotive Manufacturing,31921942358,49111,Boston,Massachusetts,USA,TerritoryNE,2012-08-24,true,Both,Active
001000000000005AAA,Aurora Vehicle Works,OEM,Platinum,Automotive Manufacturing,32713870195,50329,Oshawa,Ontario,Canada,TerritoryCanada,2022-02-05,true,Both,Active
001000000000006AAA,Rio Grande Mobility,OEM,Platinum,Automotive Manufacturing,17820000000,27415,Monterrey,Nuevo León,Mexico,TerritoryMexico,2023-12-11,true,ICE,Active
001000000000007AAA,Sierra Roadcraft,OEM,Gold,Automotive Manufacturing,13608203188,20936,Seattle,Washington,USA,TerritoryWest,2012-12-29,true,Hybrid,Active
001000000000008AAA,BlueRiver Vehicle Systems,Tier 1 Supplier,Gold,Automotive Manufacturing,5590751500,13311,Detroit,Michigan,USA,TerritoryGL,2023-04-21,true,Both,Active
001000000000009AAA,Pioneer Chassis Group,Tier 1 Supplier,Gold,Automotive Manufacturing,3421033817,8145,Baton Rouge,Louisiana,USA,TerritorySC,2018-01-27,true,ICE,Active
001000000000010AAA,Evergreen Fleet Services,Fleet,Gold,Fleet Operations,1015122958,3275,Seattle,Washington,USA,TerritoryWest,2010-08-08,true,Hybrid,Active
001000000000011AAA,Alder Mobility,OEM,Silver,Automotive Manufacturing,10291151558,15833,Los Angeles,California,USA,TerritoryWest,2017-09-12,false,ICE,Active
001000000000012AAA,Blue Ridge Automotive,OEM,Silver,Automotive Manufacturing,17480595452,26893,Fort Wayne,Indiana,USA,TerritoryGL,2023-03-05,false,ICE,Active
001000000000013AAA,Alder Motor Systems,OEM,Standard,Automotive Manufacturing,8353325441,12851,Austin,Texas,USA,TerritorySC,2008-01-29,false,Both,Active
001000000000014AAA,Eastgate Vehicle Systems,OEM,Silver,Automotive Manufacturing,13326007331,20502,Nashville,Tennessee,USA,TerritorySE,2016-10-06,false,Hybrid,Active
001000000000015AAA,Cedar Distribution,OEM,Silver,Automotive Manufacturing,8415000000,12946,Charlotte,North Carolina,USA,TerritorySE,2023-07-26,false,ICE,Active
001000000000016AAA,Meridian Manufacturing,OEM,Standard,Automotive Manufacturing,8712946911,13405,Montreal,Quebec,Canada,TerritoryCanada,2008-10-26,false,Both,Active
001000000000017AAA,Meridian Automotive,OEM,Silver,Automotive Manufacturing,14845651856,22839,Charlotte,North Carolina,USA,TerritorySE,2024-05-27,false,Both,Active
001000000000018AAA,Cobalt Components,OEM,Standard,Automotive Manufacturing,9198843462,14152,Monterrey,Nuevo León,Mexico,TerritoryMexico,2009-02-28,false,Both,Active
001000000000019AAA,Blue Ridge Powertrain,OEM,Standard,Automotive Manufacturing,10673543757,16421,Columbus,Ohio,USA,TerritoryGL,2022-05-17,false,Both,Active
001000000000020AAA,Blue Ridge Transport Group,OEM,Silver,Automotive Manufacturing,22472911877,34574,Little Rock,Arkansas,USA,TerritorySC,2011-04-24,false,Hybrid,Active
001000000000021AAA,Oakline Performance Parts,OEM,Gold,Automotive Manufacturing,28222710549,43420,Silao,Guanajuato,Mexico,TerritoryMexico,2024-10-29,false,Both,Active
001000000000022AAA,Westgate Industrial Supply,OEM,Silver,Automotive Manufacturing,14346366662,22071,Pittsburgh,Pennsylvania,USA,TerritoryNE,2010-08-27,false,ICE,Active
001000000000023AAA,Suncrest Fleet Solutions,OEM,Gold,Automotive Manufacturing,26974468799,41499,Oshawa,Ontario,Canada,TerritoryCanada,2012-02-07,false,Both,Active
001000000000024AAA,Atlas Performance Parts,OEM,Silver,Automotive Manufacturing,19129047317,29429,Monterrey,Nuevo León,Mexico,TerritoryMexico,2023-07-05,false,ICE,Active
001000000000025AAA,Blue Ridge Assembly,OEM,Standard,Automotive Manufacturing,10539754988,16215,Puebla,Puebla,Mexico,TerritoryMexico,2010-09-16,false,Hybrid,Active
001000000000026AAA,Westgate Motor Systems,OEM,Standard,Automotive Manufacturing,10277961421,15812,Greenville,South Carolina,USA,TerritorySE,2019-10-07,false,ICE,Active
001000000000027AAA,Beacon Distribution,OEM,Standard,Automotive Manufacturing,9981659606,15356,Grand Rapids,Michigan,USA,TerritoryGL,2015-07-23,false,Both,Active
001000000000028AAA,Pinnacle Fleet Solutions,OEM,Standard,Automotive Manufacturing,9954817180,15315,Buffalo,New York,USA,TerritoryNE,2013-10-30,false,Both,Active
001000000000029AAA,Oakline Distribution,OEM,Standard,Automotive Manufacturing,10997783593,16920,Detroit,Michigan,USA,TerritoryGL,2016-03-10,false,Both,Active
