OpportunityId,OpportunityName,AccountId,OwnerUserId,OpportunityType,VehicleProgramName,VehicleSegment,PowertrainType,StageName,ForecastCategory,Probability,Amount,CurrencyIsoCode,CreatedDate,OriginalCloseDate,PriorCloseDate,CloseDate,CloseDateChangeCount,IsClosed,IsWon,LossReason,LeadSource,CustomerNeed,NextStep,LastActivityDate
006000000000001AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0001,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,654290.18,USD,2023-01-16,2023-08-01,,2023-08-01,0,true,false,Price,Existing Relationship,Platform Launch,,2023-07-08
006000000000002AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0002,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,711516.7,USD,2023-03-28,2023-10-19,,2023-10-19,0,true,false,Competitor,RFQ,Platform Launch,,2023-10-07
006000000000003AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0003,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Technical Review,Pipeline,0.4,849240.45,USD,2023-03-25,2026-08-16,,2026-08-16,0,false,false,,RFQ,Platform Launch,Finalize commercial terms,2026-06-22
006000000000004AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0004,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,700469.6,USD,2023-11-18,2024-05-16,,2024-05-16,0,true,true,,RFQ,Platform Launch,,2024-04-26
006000000000005AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0005,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,740173.32,USD,2023-09-30,2024-04-12,,2024-04-12,0,true,true,,RFQ,Platform Launch,,2024-03-22
006000000000006AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0006,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,659519.01,USD,2023-07-18,2024-01-22,,2024-01-22,0,true,false,No Decision,RFQ,Platform Launch,,2024-01-17
006000000000007AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0007,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,693346.48,USD,2023-08-08,2024-02-24,,2024-02-24,0,true,true,,Partner,Platform Launch,,2024-02-05
006000000000008AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0008,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,633081.16,USD,2023-11-15,2024-05-15,,2024-05-15,0,true,true,,Trade Event,Platform Launch,,2024-04-26
006000000000009AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0009,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,727939.48,USD,2023-05-04,2023-11-21,,2023-11-21,0,true,true,,Existing Relationship,Platform Launch,,2023-11-16
006000000000010AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0010,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,715451.34,USD,2023-09-05,2024-03-23,,2024-03-23,0,true,false,Price,Existing Relationship,Platform Launch,,2024-03-11
