OpportunityLineItemId,OpportunityId,ProductId,Quantity,ListUnitPrice,DiscountRate,NetUnitPrice,ListRevenue,NetRevenue,UnitCost,ExtendedCost,GrossMarginAmount,GrossMarginRate,ProductSubstitutionFlag,CurrencyIsoCode
00k000000000001AAA,006000000000001AAA,01t000000000060AAA,1291,253.27,0.0299,245.7,326971.57,317198.7,164.46,212317.86,104880.84,0.330647,false,USD
00k000000000002AAA,006000000000001AAA,01t000000000022AAA,1084,340.53,0.0868,310.97,369134.52,337091.48,241.05,261298.2,75793.28,0.224845,false,USD
00k000000000003AAA,006000000000002AAA,01t000000000042AAA,1378,274.95,0.053,260.38,378881.1,358803.64,174.39,240309.42,118494.22,0.330248,false,USD
00k000000000004AAA,006000000000002AAA,01t000000000038AAA,1783,211.84,0.0662,197.82,377710.72,352713.06,127.14,226690.62,126022.44,0.357295,false,USD
00k000000000005AAA,006000000000003AAA,01t000000000006AAA,768,468.06,0.0334,452.43,359470.08,347466.24,301.3,231398.4,116067.84,0.334041,false,USD
00k000000000006AAA,006000000000003AAA,01t000000000015AAA,1649,318.63,0.045,304.29,525420.87,501774.21,168.05,277114.45,224659.76,0.447731,false,USD
00k000000000007AAA,006000000000004AAA,01t000000000004AAA,795,393.76,0.0727,365.13,313039.2,290278.35,267.02,212280.9,77997.45,0.268699,false,USD
00k000000000008AAA,006000000000004AAA,01t000000000053AAA,1813,240.05,0.0575,226.25,435210.65,410191.25,158.05,286544.65,123646.6,0.301436,false,USD
00k000000000009AAA,006000000000005AAA,01t000000000036AAA,3395,142.04,0.0816,130.45,482225.8,442877.75,95.18,323136.1,119741.65,0.270372,false,USD
00k000000000010AAA,006000000000005AAA,01t000000000002AAA,1651,185.35,0.0285,180.07,306012.85,297295.57,113.8,187883.8,109411.77,0.368024,false,USD
00k000000000011AAA,006000000000006AAA,01t000000000039AAA,2915,122.82,0.0913,111.61,358020.3,325343.15,75.62,220432.3,104910.85,0.322462,false,USD
00k000000000012AAA,006000000000006AAA,01t000000000056AAA,1934,195,0.1139,172.79,377130,334175.86,130.96,253276.64,80899.22,0.242086,false,USD
00k000000000013AAA,006000000000007AAA,01t000000000033AAA,1021,422.88,0.0944,382.96,431760.48,391002.16,280.14,286022.94,104979.22,0.268488,false,USD
00k000000000014AAA,006000000000007AAA,01t000000000043AAA,1416,232.44,0.0814,213.52,329135.04,302344.32,128.91,182536.56,119807.76,0.396263,false,USD
00k000000000015AAA,006000000000008AAA,01t000000000005AAA,986,377.56,0.063,353.77,372274.16,348817.22,272.07,268261.02,80556.2,0.230941,false,USD
00k000000000016AAA,006000000000008AAA,01t000000000048AAA,761,404.75,0.0771,373.54,308014.75,284263.94,264.11,200987.71,83276.23,0.292954,false,USD
00k000000000017AAA,006000000000009AAA,01t000000000007AAA,1915,193.76,0.0782,178.61,371050.4,342038.15,120.99,231695.85,110342.3,0.322602,false,USD
00k000000000018AAA,006000000000009AAA,01t000000000018AAA,2759,147.59,0.0523,139.87,407200.81,385901.33,92.07,254021.13,131880.2,0.341746,false,USD
00k000000000019AAA,006000000000010AAA,01t000000000036AAA,2106,143.02,0.0798,131.61,301200.12,277170.66,95.18,200449.08,76721.58,0.276803,false,USD
00k000000000020AAA,006000000000010AAA,01t000000000003AAA,2287,199.15,0.0377,191.64,455456.05,438280.68,125.5,287018.5,151262.18,0.345126,false,USD
00k000000000021AAA,006000000000011AAA,01t000000000009AAA,862,354.78,0.0749,328.21,305820.36,282917.02,203.75,175632.5,107284.52,0.379208,false,USD
00k000000000022AAA,006000000000011AAA,01t000000000033AAA,1289,405.14,0.0652,378.72,522225.46,488170.08,280.14,361100.46,127069.62,0.260298,false,USD
00k000000000023AAA,006000000000012AAA,01t000000000045AAA,3295,104.64,0.0801,96.26,344788.8,317176.7,59.87,197271.65,119905.05,0.378039,false,USD
00k000000000024AAA,006000000000012AAA,01t000000000021AAA,1220,329.21,0.0965,297.44,401636.2,362876.8,239.32,291970.4,70906.4,0.195401,false,USD
00k000000000025AAA,006000000000013AAA,01t000000000011AAA,1130,318.13,0.0767,293.73,359486.9,331914.9,204.74,231356.2,100558.7,0.302965,false,USD
00k000000000026AAA,006000000000013AAA,01t000000000043AAA,1832,231.2,0.0726,214.41,423558.4,392799.12,128.91,236163.12,156636,0.398769,false,USD
00k000000000027AAA,006000000000014AAA,01t000000000062AAA,1350,195.1,0.0788,179.73,263385,242635.5,121.05,163417.5,79218,0.32649,false,USD
00k000000000028AAA,006000000000014AAA,01t000000000019AAA,1004,332.27,0.065,310.67,333599.08,311912.68,228.88,229795.52,82117.16,0.26327,false,USD
