ProductId,ProductName,ProductCode,ProductFamily,ProductCategory,PowertrainCompatibility,ListPrice,UnitCost,StandardGrossMarginRate,ActiveFlag,LaunchDate,DiscontinueDate,PrimaryPlantLocationId,PrimaryPlantCity
01t000000000001AAA,Piston Set A01,AMC-0001,Engine Components,Piston Set,ICE,332.86,209.3,0.3712,true,2019-05-19,,Location002,Fort Wayne
01t000000000002AAA,Valve Train Module A02,AMC-0002,Engine Components,Valve Train Module,ICE,180.18,113.8,0.3684,true,2021-10-30,,Location002,Fort Wayne
01t000000000003AAA,Timing Assembly A03,AMC-0003,Engine Components,Timing Assembly,Both,205,125.5,0.3878,true,2019-10-13,,Location002,Fort Wayne
01t000000000004AAA,Connecting Rod A04,AMC-0004,Engine Components,Connecting Rod,Both,398.77,267.02,0.3304,true,2020-04-16,,Location002,Fort Wayne
01t000000000005AAA,Cylinder Liner A05,AMC-0005,Engine Components,Cylinder Liner,ICE,377.3,272.07,0.2789,true,2022-05-10,,Location002,Fort Wayne
01t000000000006AAA,Crank Damper A06,AMC-0006,Engine Components,Crank Damper,ICE,467.93,301.3,0.3561,true,2019-03-13,,Location002,Fort Wayne
01t000000000007AAA,Oil Pump A07,AMC-0007,Engine Components,Oil Pump,ICE,197.51,120.99,0.3874,true,2018-03-24,,Location002,Fort Wayne
01t000000000008AAA,Engine Mount A08,AMC-0008,Engine Components,Engine Mount,ICE,268.06,179.17,0.3316,true,2023-11-06,,Location002,Fort Wayne
01t000000000009AAA,Piston Set B09,AMC-0009,Engine Components,Piston Set,Both,343.01,203.75,0.406,true,2017-01-10,,Location002,Fort Wayne
01t000000000010AAA,Valve Train Module B10,AMC-0010,Engine Components,Valve Train Module,ICE,439.18,280.72,0.3608,true,2018-10-01,,Location002,Fort Wayne
01t000000000011AAA,Timing Assembly B11,AMC-0011,Engine Components,Timing Assembly,ICE,306.64,204.74,0.3323,true,2019-08-21,,Location002,Fort Wayne
01t000000000012AAA,Connecting Rod B12,AMC-0012,Engine Components,Connecting Rod,ICE,398.26,249.67,0.3731,true,2022-04-16,,Location002,Fort Wayne
01t000000000013AAA,Cylinder Liner B13,AMC-0013,Engine Components,Cylinder Liner,Both,328.94,195.82,0.4047,true,2017-12-13,,Location002,Fort Wayne
01t000000000014AAA,Ignition Coil A01,AMC-0014,Ignition and Electronics,Ignition Coil,Both,122.21,81.05,0.3368,true,2019-01-21,,Location004,Columbus
01t000000000015AAA,Position Sensor A02,AMC-0015,Ignition and Electronics,Position Sensor,Both,306.71,168.05,0.4521,true,2017-12-01,,Location004,Columbus
