OpportunityId,AsOfDate,OpportunityAge,OpportunityAgeBucket,SalesCycleDays,WeightedAmount,UniqueProductCount,UniqueProductFamilyCount,AverageDiscount,NetRevenue,GrossMarginAmount,GrossMarginRate,CloseDateSlipDays,CloseDateChangeCount,HybridProductShare,OpportunityHealthScore,OpportunityRiskScore,ForecastConfidence,HighRiskFlag,ProductAttachOpportunityFlag
006000000000001AAA,2026-06-30,197,181-365,197,,2,2,0.060071,654290.18,180674.12,0.276138,0,0,0.484798,,,,false,false
006000000000002AAA,2026-06-30,205,181-365,205,,2,2,0.059577,711516.7,244516.66,0.343656,0,0,0.49572,,,,false,false
006000000000003AAA,2026-06-30,1193,365+,,339696.18,2,2,0.040288,849240.45,340727.6,0.401215,0,0,0.590851,54,39,47,false,false
006000000000004AAA,2026-06-30,180,91-180,180,,2,2,0.063856,700469.6,201644.05,0.28787,0,0,1,,,,false,false
006000000000005AAA,2026-06-30,195,181-365,195,,2,2,0.060978,740173.32,229153.42,0.309594,0,0,0,,,,false,false
006000000000006AAA,2026-06-30,188,181-365,188,,2,2,0.102879,659519.01,185810.07,0.281736,0,0,0.506696,,,,false,false
006000000000007AAA,2026-06-30,200,181-365,200,,2,2,0.088776,693346.48,224786.98,0.324206,0,0,0.436065,,,,false,false
006000000000008AAA,2026-06-30,182,181-365,182,,2,2,0.069394,633081.16,163832.43,0.258786,0,0,0.449017,,,,false,false
006000000000009AAA,2026-06-30,201,181-365,201,,2,2,0.064647,727939.48,242222.5,0.332751,0,0,0.530128,,,,false,false
006000000000010AAA,2026-06-30,200,181-365,200,,2,2,0.054456,715451.34,227983.76,0.318657,0,0,0.612593,,,,false,false
006000000000011AAA,2026-06-30,201,181-365,201,,2,2,0.068787,771087.1,234354.14,0.303927,0,0,0.366907,,,,false,false
006000000000012AAA,2026-06-30,1017,365+,,408032.1,2,2,0.088919,680053.5,190811.45,0.280583,0,0,0.5336,53,39,68,false,false
006000000000013AAA,2026-06-30,188,181-365,188,,2,2,0.074493,724714.02,257194.7,0.354891,0,0,0.542006,,,,false,false
006000000000014AAA,2026-06-30,198,181-365,198,,2,2,0.071084,554548.18,161335.16,0.290931,0,0,1,,,,false,false
006000000000015AAA,2026-06-30,177,91-180,177,,2,2,0.052217,601698.46,214624.26,0.356697,0,0,1,,,,false,false
006000000000016AAA,2026-06-30,147,91-180,147,,3,3,0.07645,1057832.65,318565.95,0.30115,0,0,0.648453,,,,false,false
